Entity ID,Rating,Cash,Total debt/total asset,Employees,Revenue - Total,Net Cash Flow
2940,BBB-,304.508,0.087853313,9.7,4836.884,299.818
2991,AA-,6988,0.135674682,55.2,103310,12871
3007,BB+,31.446,0.756390913,58.335,3257.489,190.434
3026,BBB+,187.8,0.180220941,4.5,3493.1,215.7
3028,BB,48.7,0.402546132,4,1308.6,24.9
3036,B,9.7,0.778131084,3.4,1185.8,97.8
3105,CC,845.03,1.556654914,18.7,6273.573,-432.213
3107,CCC+,323.4,1.150527574,2.923,2118,96.6
3121,A-,401,0.398406375,8,5761,462
3138,BBB,21.85,0.387203182,13.2,3156.428,418.378
3144,AA-,8555,0.340139796,100.3,41863,2251
3153,BB-,162.182,0.150773859,2.087,665.777,45.589
3170,AA-,1315,0.537820671,36.7,15195,908
3221,A-,431,0.220514747,69,11627,1040
3226,A-,3301,0.307844875,159,80403,19391
3243,BBB+,23043,0.09489157,219,82566,82224
3246,BB+,517.544,0.242088698,8.388,4610.526,209.148
3278,BB,490,0.68707136,30,8659,2191
3394,A,1.564,0.251174631,0.266,99.411,66.667
3439,BBB+,235,0.404680418,7.8,6399,1884
3469,BB+,16.643,0.47623832,1.08,1980.273,538.146
3502,BB,504.423,0.113420847,10.54,2924.869,191.472
3504,BB+,100.817,0.247423657,10.6,1966.814,508.255
3505,BBB-,560.9,0.388108992,17.4,4885,12444.8
3532,BBB+,5291,0.130685688,40.7,9390,-2785
3580,BBB,509.7,0.217415403,11,2748,217.7
3592,B,579,0.770236716,10.1,3733,-359
3607,BB-,220,0.210793358,2.5,1654,-14
3619,BB,559,0.491405355,24,8284,314
3650,A+,1120,0.104456732,55.4,17537,526
3708,B,198.24,0.631488122,12.1,1435.418,-223.127
3734,BB+,707,0.3281893,24.9,5826,296
3735,A,963.7,0.213580658,62,16882.4,5564.5
3835,A,4335.8,0.409781413,56.767,26006,1363.8
3851,BB+,2762,0.120969158,83.756,39639,2945
3863,BB,76.574,0.330903917,6.026,1849.062,323.587
3897,BBB+,92,0.351705627,10,10630,3443
3980,A,4610,0.180989428,195,55632,6222
4029,BBB+,261,0.422161709,16.2,11737,10357
4040,B+,317.5,0.555278082,44.36,6895.7,154.2
4058,A-,349.146,0.318025688,29,6794.342,1495.583
4060,BBB,6607,0.257272579,56,48158,1586
4066,BBB+,3002.2,0.214557055,78.5,15416.9,954.1
4087,A-,4605,0.202857572,46,24764,972
4093,A-,392,0.343293588,28.798,22754,11068
4094,BBB-,352.6,0.721754481,4.8,1703.7,97.8
4108,BBB,367.162,0.315413524,18,3990.487,96.755
4145,BBB,359.265,0.24440764,8,2115.517,235.604
4213,A-,327.4,0.335277302,47.565,13152.8,1071.5
4241,BBB,8.42,0.354091991,1.1,886.936,276.003
4321,A,3182,0.186818746,74.5,14522,836
4351,BB,386.093,0.115166678,0.39,621.366,450.953
4367,B+,1037,0.584570436,30,5749,757
4383,A,47.534,0.218639823,4.747,3349.949,1098.613
4423,BBB+,129.3,0.313145258,9.5,3144.9,1983.3
4460,BB+,258.52,0.281592108,13.572,1992.631,137.77
4462,BBB+,192.154,0.358134783,1.998,2049.451,250.057
4503,AA+,3657,0.087589385,71.1,197518,12789
4510,BBB,64.2,0.292997573,5.9,3282.4,120.8
4517,A-,1292,0.309112931,14.7,16155,8831
4600,B-,300,0.407433578,53,7434,526
4622,BB-,45.582,0.434014998,5.125,1145.292,144.627
4669,BBB+,593,0.309775967,11.877,5628,185
4809,BBB,6.41,0.342862617,10.8,3926.885,62.079
4818,A-,1850.436,0.164700556,61.551,19036.525,695.569
4839,BBB,15905,0.392101735,201,151800,27250
4926,BBB,142.245,0.285749475,4.587,2094.605,143.098
4941,BBB,307.5,0.558096659,2.26,1418.3,501.2
4988,BB+,76.92,0.473238808,10.121,3341.198,220.996
5018,B+,410.3,0.270282285,4.965,1761.3,248.9
5047,AA-,48129,0.288011764,295,119688,-89375
5072,BB+,5934,0.241711864,7.6,9822,8237
5073,BBB-,12960,0.250800668,225,166380,33684
5179,BB+,55.444,0.23904345,4.346,1610.938,113.091
5234,BB,1132,0.290594149,66,15158,644
5250,BB+,90.6,0.51775534,3.7,1598.6,262.6
5256,AA-,274.146,0.323295881,25.6,10137.204,248.444
5284,B+,325.189,0.631167116,3.996,812.465,707.205
5338,BB,103.7,0.309102442,12.37,3323.6,28.2
5342,B+,157.2,0.196893897,2.916,1630.4,75.5
5379,CC,8.822,0,0.45,123.719,-3.172
5439,BBB+,4009,0.45237037,50,15887,-5243
5492,BBB-,487,0.343447816,21,7467,31
5496,BB-,71.879,0.397903485,9.4,1451.223,-132.488
5518,BBB,1282.285,0.235433673,5.4,5019.822,441.815
5560,B-,169.777,0.213695626,1.396,645.957,213.307
5568,BBB-,4204,0.246621846,41,26487,617
5597,A,296.967,0.424930032,17.98,7440.181,549.032
5606,BBB,6288,0.232954154,49,48238,-11193
5608,BBB-,35.2,0.285095393,6.155,2004.3,354.6
5639,BB+,232.2,0.454767267,10,2655.2,139.3
5643,BB+,1418,0.405974591,169,11663,1321
5667,BBB-,710.579,0.236881868,2.676,10535.7,1445.643
5671,BB-,185.093,0.990410754,16.092,2378.855,216.155
5709,A,415.143,0.039246055,21.1,9523.224,483.202
5742,A-,341,0.345045582,7.727,7528,1123
5750,CCC+,346.765,0.79471052,1.961,2752.247,141.998
5764,A,437.6,0.280992908,17.4,3505.2,351.4
5783,BBB+,6.377,0.257581899,22.19,6555.459,486.199
5862,BBB-,85.909,0.383580439,0.315,788.278,318.224
5870,BBB,61.48,0.277367658,2.02,1262.02,244.122
5878,A+,2472,0.472139991,50,13599,47
5903,AA+,391,0.120804725,5.6,23399,-1759
5918,A-,68.6,0.27408761,5.8,2448.3,503.1
5959,BBB,1714.7,0.213215768,45,13508.9,795
5968,B-,80.7,0.605825367,3.325,2859.7,37.3
5987,BB-,72.553,0.512830959,6,1957.161,113.271
6008,A+,5560,0.182207241,106,59387,16069
6066,AA-,7826,0.295011492,380.3,79920,11167
6078,BBB+,323.992,0.265586072,6.932,3116.35,515.712
6081,CCC+,804,0.707058199,11.3,8111,-86
6104,BBB,1033,0.332133753,55,21079,3460
6116,BBB,263.727,0.119400182,0.792,659.116,166.987
6135,BBB+,2117,0.42517942,7.734,34560,6313
6136,BBB-,1097.6,0.102577452,49.8,7846.6,-153
6196,BB,115.1,0.336818448,8.9,7622.8,5.8
6223,BBB-,464.617,0.104848016,31,7551.524,255.132
6266,AAA,18972,0.158928673,126.4,71890,10216
6304,BBB,1108.488,0.61621721,5.58,2984.493,122.994
6310,BBB-,684,0.465151609,11.121,13058,2158
6326,BB+,41.205,0.209774197,5.265,1808.376,63.748
6334,BBB+,1293.1,0.247988209,2.865,2676,2965.3
6335,BBB-,170.6,0.257612702,6.82,2334.2,662.2
6338,BBB+,3.066,0.308547416,2.254,2562.087,1012.595
6375,BBB,280,0.443385613,37.369,12983,986
6386,BBB-,161.579,0.295322555,11.178,2098.436,108.853
6435,A,923,0.440966991,42,18202,1047
6461,BBB+,5.634,0.167956818,3.95,1770.673,349.27
6528,CCC,60.017,0.319953244,0.61,374.585,-219.45
6547,A-,5.2,0.301724422,3.296,1537.3,604.1
6565,BBB,5039.322,0.275726136,7.5,5885.893,2946.022
6639,B-,16.984,0.859199914,3.976,614.364,-28.658
6649,BBB+,281.9,0.320431621,21.3,3749.9,150.4
6669,BB,1329.529,0.29104542,8.335,10949.999,256.921
6682,BBB-,3807.558,0.154416268,13,10875.254,834.547
6730,AA-,4582.1,0.215632159,41.975,21222.1,4291.2
6768,BB-,478.536,0.351018041,3.9,1381.478,241.729
6771,BBB,1314,0.331891044,195,46385,1737
6774,BBB+,1837,0.298749111,97,47248,1732
6788,BB+,0.314,0.334465082,0.762,1099.043,308.678
6821,BB,659.3,0.184324537,4.8,2233.4,-64.7
6865,BB+,282.909,0.338784199,1.318,2326.844,92.703
6946,A-,974,0.106088806,155.45,36445,2366
6994,B,69.9,0.177296086,4.9,1613.1,47.1
7017,BBB-,2490,0.211905834,2.117,4031,2147
7065,A-,1026,0.247113799,60,13200,940
7085,BBB,990,0.583025112,26,7357,-320
7116,BBB,869.531,0.328663182,32,5456.65,313.038
7146,A-,118.4,0.227356069,10.5,4411.5,286.6
7152,B+,595.921,0.218604817,12.4,2635.983,62.407
7154,BBB+,1223.4,0.834147222,375,24621.9,-5376.8
7241,BBB+,3371,0.271167242,250,177526,3380
7257,AA,6515,0.254505803,68,39807,1332
7343,BB,4140,0.332389252,31.4,12399,4913
7346,BB-,189.5,0.483495365,4.4,1655,1347.3
7366,BBB+,1187.844,0.315704513,13.513,10845.645,3686.931
7368,A,3.879,0.21694044,0.309,132.906,47.785
7435,AA-,2398,0.325867623,91.584,30109,2036
7437,BBB+,27.5,0.279308658,1.963,1339.7,206.7
7549,BB+,325.128,0.332133738,10.497,2411.937,95.994
7585,BBB-,1030,0.518964906,14,6038,123
7620,BBB-,872.797,0.235313029,1.294,1809.575,309.914
7648,BB+,498,0.39111169,33.5,6543,388
7733,BBB,129.972,0.37013995,2.08,1452.416,469.872
7750,B,716,0.609853852,131.61,19621,790
7770,B+,24.505,0.390312544,1.293,1283.547,29.919
7875,BBB-,587.5,0.333680089,53.4,13264,9168.9
7881,BBB,2756,0.19252532,12.4,6711,985
7882,B-,87.878,0.091332439,1.8,471.496,10.445
7912,BBB,1180,0.333682357,2.274,3389,583
7923,BBB+,956,0.282070389,28.044,9888,1687
7974,BBB+,26.4,0.324108304,8.007,4492.5,1593.8
7977,A-,84.476,0.34490639,11.512,11106.92,3260.949
7985,BBB+,2541,0.275552432,67,24508,1027
7993,A+,3.521,0.220577239,1.108,693.078,135.939
8001,BBB,5.079,0.330528805,1.552,1257.247,279.646
8030,A-,2045.961,0.245616092,23.9,16208.122,1123.567
8068,A,2233,0.227771463,11,10090,3774
8079,BBB,450.193,0.253347666,9.3,2271.603,243.38
8099,BBB-,199,0.421618615,15.707,14562,3349
8113,A-,0.3,0.242041933,2.453,2259.2,545.5
8123,BB,184.5,0.403658731,6.4,5550.6,265.7
8151,BB+,248.875,0.490744048,2.384,8920.934,766.822
8199,BBB,0,0.264246478,2.054,803.539,159.324
8213,BBB,185.488,0.20773897,7.9,9723.431,44.991
8214,BBB,112,0.271153598,16,5677,855
8215,BB,492,0.561904762,27,6702,523
8247,A-,1820,0.240154734,47,14766,141
8264,BBB+,177,0.236450042,24,17666,5580
8272,BBB+,349,0.301950362,16.575,10183,4832
8357,B-,119.691,0.52224682,2.199,427.004,11.91
8358,A,1221.653,0.221867639,48.95,11360.753,367.42
8431,BBB+,2107,0.04027455,7.6,6454,3868
8455,A-,341,0.464778807,12.689,7517,2451
8463,BBB-,238.5,0.37091237,26,4890,261.3
8479,A,9158,0.405414885,264,62799,7462
8486,BB-,146.103,0.166796827,11.603,4973.076,89.146
8512,B+,244.1,0.233059702,0.395,382.915,1752.376
8515,BB-,2.596,0.435811632,2.472,634.098,75.407
8530,AA,2595,0.182956035,96.5,52824,6980
8539,BBB,635,0.280373181,34.396,31360,9636
8543,A-,4569,0.302207611,8.3,19337,-1508
8549,A-,3610,0.291694515,13.3,23693,5167
8606,BBB-,770.985,0.47119108,14.2,3406.575,266.593
8644,BB+,827,0.217212036,9.224,3472,1050.9
8692,BB,82.584,0.61762179,0.953,599.099,-18.692
8762,AA-,7102,0.149013655,105,65299,6222
8807,BBB+,4.522,0.327513182,1.814,1362.951,657.846
8810,BBB+,423,0.271899176,13.065,9208,4277
8823,BB+,698.882,0.295110236,4.623,7668.476,419.005
8972,A,3303,0.177525622,63,24069,922
9063,BBB-,64.8,0.160149105,26,21609,480.4
9203,A,1526.4,0.213527291,22,5879.5,549.6
9215,BBB+,0,0.540893374,25.2,13702,2374
9299,BBB+,58.801,0.421910884,34.5,6786.984,1413.171
9445,BBB+,208,0.346020206,5.91,4227,1652
9465,AA-,2929,0.211183232,100,27810,833
9555,BB,363.7,0.532987779,23,6778.3,366
9611,BB+,194.986,0.265540491,23.463,3031.137,274.665
9667,A,889.793,0.179388705,42.55,11855.602,1001.219
9778,A-,77.6,0.153328252,12.1,3711.8,460.1
9815,BBB+,257.226,0.26016956,20,4782.877,82.983
9831,BBB+,18.282,0.2165904,0.75,1036.5,259.573
9835,B-,10.194,0.484890773,1.8,277.076,20.801
9846,BBB+,96,0.198406048,12.39,11869,3351
9849,A+,0.436,0.218281216,0.736,436.087,127.293
9850,A-,1975,0.388606799,32.015,19896,20619
9882,BBB,1680,0.121145753,53.536,20425,2369
9899,BBB+,5788,0.281513344,268.54,163763,24882
10016,A,1131.8,0.244024586,54.023,11406.9,1052.1
10115,A,3316,0.327183753,33,11325,4173
10247,BBB+,3919.3,0.438764263,51.9,50366.919,-471.589
10385,BB,1407,0.231384546,9.4,9300,1421
10405,B,229.6,0.342727273,8.5,3134.6,279.8
10407,BB+,543.789,0.218505643,12.6,1868.027,289.788
10411,BB,900,0.257569342,10.3,5102,723
10443,BB+,347,0.297745053,31,8599,398
10466,BB+,3295,0.317089911,6.3,24005,3670
10499,A+,1154,0.181242773,29.865,13370,804
10519,BBB,1298,0.211811434,36,13788,844
10530,BBB,786.2,0.33485596,55,18274.1,6016.9
10567,BB,137.385,0.653014545,47,1319.398,170.489
10581,BBB,148.8,0.230214262,14.111,2669.8,232.6
10614,A,76.163,0.052862493,3.128,3934.629,1078.917
10618,BBB,273.555,0.238860325,6.329,2393.262,191.506
10631,BBB-,425.354,0.520449871,11.5,4170.077,2540.099
10726,BB-,577.658,0.360771046,8.2,1947.93,-74.572
10735,BBB-,563.4,0.321907225,17.68,4588.3,800.1
10793,BBB,349,0.277119743,114,36881,339
10795,BB-,2179,0.267563528,88,36556,2329
10816,BB+,427,0.279917291,6.6,3017,-756
10860,BBB+,9,0.267014859,8.629,6076,1858
10867,A,1277,0.255734233,42.919,19941,3279
10877,B+,0.893,0.329182032,1.216,602.177,111.029
10894,BBB+,2.112,0.442924773,1.587,1014.025,107.647
10903,A+,10430,0.209893331,230,184840,8784
10920,A+,3476,0.306956931,434,60906,3333
10991,B,115.1,1.132276999,8.4,2883.4,223
11032,BB+,33.747,0.390609357,81.125,9765.21,1162.526
11060,A,1227.862,0.209376723,69,12019.003,401.04
11096,BBB,174.72,0.360860808,11.083,4190.552,126.546
11191,BB+,471.781,0.115999377,22.1,2323.431,153.965
11228,BBB,258.986,0.234050269,7.533,3592.667,340.003
11258,BB+,4.854,0.191151789,2.318,1221.908,0.107
11264,BBB,9807,0.25733271,360,117351,10453
11296,A+,5.573,0.238384275,1.554,2349.559,664.305
11300,BB+,648.885,0.109577072,20.384,2481.89,218.179
11304,BBB,8.507,0.325865129,1.982,1442.483,430.489
11440,B,60.082,0.64533295,3.2,1477.96,192.056
11443,BBB,1560,0.316765931,201.5,47999,1485
11456,BBB-,676,0.355453931,10.4,6365,-2895
11465,BBB,1085,0.202370386,93,20718,925
11506,BB,170,0.483057542,5.604,7499,486
11550,A-,37.5,0.304024805,8.164,7472.3,1257.8
11566,BB+,369.8,0.320886623,5.86,2494.6,216.8
11636,BBB-,2223,0.292367043,37.6,10771,1422
11649,B-,136.7,0.553841808,32.3,4697.5,30.6
11657,A-,4.209,0.263995582,0.105,47.584,13.856
11670,B,497.3,0.147093829,15.992,5215.4,1062
11721,BB+,321.9,0.183038681,13.8,6279.2,361.9
11729,BBB,149.8,0.042920226,1.4,1356,-1097.7
11770,BBB-,912.932,0.045134347,6.977,2627.37,5369.029
11781,BBB,834,0.307240838,2.2,2918,587
11923,BBB,3184,0.335374418,4.5,8447,5008
12124,BBB+,43381,0.170130892,55.311,37949,9871
12141,AAA,6510,0.21055376,114,85320,24932
12198,CCC+,109.917,0.610080322,2.8,734.514,45.484
12250,B+,274.305,0.389503257,0.545,532.091,118.304
12389,A-,759.984,0.47187682,6,5996.458,439.949
12395,BB+,633.715,0.322295369,4.2,5400.46,-293.489
12428,BBB,6,0.292281121,2.752,1923,587
12459,BBB+,396.619,0.225592987,4.9,5834.585,-19.269
12540,A-,1011.315,0.149685287,15.706,5854.43,1109.022
12589,BB-,40.5,0.636344219,35.71,3646,223.9
12635,BBB,300,0.458483013,23,5505,579
12689,B,593,0.450011536,1.79,3594.646,38.738
12726,BBB,100.4,0.048423109,9.4,11047.4,697.5
12756,BBB+,407.307,0.299547633,24.504,9637.142,652.114
12785,BB,120.328,0.336364585,39.6,7931.123,-57.648
12788,BBB-,602.3,0.217459013,26,6911.676,388.893
12796,BB,72.031,0.383077665,6.3,1952.557,454.703
12886,BBB+,4424,0.399007547,21.5,27326,-2302
12909,BBB+,1738.747,0.092389773,10.9,5605.174,686.642
12972,BB-,5.68,0.51377664,26.5,3794.977,135.058
13003,BB+,276.709,0.281628026,10,2371.4,168.951
13341,A,211.5,0.093432054,31.721,23417.4,2451.5
13421,BBB-,465.232,0.306877078,7.094,1816.083,-147.818
13440,BB,1819,0.43703793,12.6,8172,2287
13453,B,64.913,0.066766506,3.098,857.779,-38.168
13498,A-,603,0.214634272,97.2,16389,2543
13540,BB,45.828,0.465833111,5.8,4198.099,327.14
13599,BBB+,6169.9,0.490945538,7.132,11229.2,2330.7
13700,BBB+,383.9,0.129640274,15.7,3745.3,37.2
13721,BBB,727,0.584128644,9,4918,-190
13963,B,393.53,0.806919343,1.425,1264.969,153.704
13971,BB+,223.89,0.372517344,1.275,1998.429,57.165
13994,BBB+,1319,0.155734656,5.15,12919,609
14027,BB+,306.997,0.443592473,12.4,2755.226,479.859
14065,BB-,62,0.401258851,11,4001,190
14163,B-,5.291,0.451565642,5.4,977.093,5.231
14256,BBB+,2105.229,0.233808685,7.213,2194.719,491.542
14282,BBB+,1034.6,0.310106252,62,6286.4,944.1
14304,B+,200.772,0.410381918,2.388,1116.843,-72.574
14313,BB-,161,0.303501946,2.6,1766,261
14330,BBB-,50,0.114722222,7.8,4450,275
14352,BBB,1055.484,0.088396623,34.952,8287.989,-432.605
14353,BBB-,405,0.341229739,14,4951,1234
14359,BBB-,1118,0.165745185,3.604,3951,3547
14369,BB,586,0.227566807,6.3,3939,489
14370,BBB,598.5,0.103720525,28,19654.1,2.4
14372,B-,44,0.585344828,3,1499,56
14390,A-,269,0.444159152,8.425,6838,6934
14391,BBB-,305,0.338486722,2.341,2397,581
14412,BB-,496.031,0.4647536,1.617,805.377,-197.905
14418,BB-,1446.581,0.460869672,75,9455.123,2053.394
14433,A,345,0.433895959,5.388,3399,1281
14477,A-,32,0.426338751,41.2,13609,1925
14535,BB,128.852,0.223686669,4.1,943.047,93.159
14563,BB-,136.569,0.549882283,1.486,931.623,78.405
14590,BB-,4245,0.396468098,30,14830,518
14790,BB-,131.702,0.338166318,1.485,3041.734,-110.4
14822,BBB+,795.285,0.106339679,7.683,7554.883,841.444
14828,BBB+,145.7,0.082015534,8.5,5900.2,1022.3
14960,BBB,433.6,0.372008142,52,9641.8,526.1
15037,BBB+,157,0.128250454,8.712,3510,505
15042,BB-,25.6,0.213390591,2.3,6266,194.1
15055,BBB+,17,0.255643841,7.27,10523,3759
15070,A-,3016,0.181540439,12.837,26807,6549
15083,BBB-,16.7,0.168703327,8,2019.5,129.3
15247,BBB,4816,0.170792454,9.996,70166,2808
15252,BB-,20.71,0.343117957,4,794.02,32.37
15267,BBB,235.964,0.321474803,7.158,2113.043,446.465
15417,BBB-,515.646,0.192605624,8.297,1766.629,214.638
15580,A+,31653,0.006307282,45.234,25577,5327
15581,A+,3500,0.072934057,43.213,18665,7775
15582,A+,6855,0.032755901,88.901,34295,2903
15607,A+,4396,0.016632186,26.879,49122,5885
15620,A,8183,0.010589735,21.77,7898,4905
15633,AA-,14929,0.008271073,80,46150,23722
15704,BBB+,2368,0.225405716,45.7,11166,-728
15706,AA-,3907,0.007341752,81.233,38490,25674
16101,A-,5100,0.551294271,30,25638,3113
16432,BBB,123.716,0.139755022,3.687,1492.687,1478.614
16477,BBB-,1271.6,0.191705553,148.4,18557.6,746.4
16478,BBB+,1599.895,0.236928491,2.65,7363.394,2116.341
16486,BB-,103.978,0.304078594,6.19,3911.215,218.321
16582,BBB+,32,0.214836279,5.13,4456,836
16648,B+,1.2,0.559957269,5.4,1404.6,171.2
16653,BB-,300.179,0.312244991,1.8,3550.029,255.341
17074,BBB,64.643,0.054783127,0.683,1188.907,222.137
17115,BBB,0.458,0.059947813,2.25,2281.33,317.661
17239,B+,137.061,0.525962239,100.1,7219.519,237.944
17687,B,163.09,0.396406009,0.294,138.525,-12.949
17699,BB,137,0.345183486,15.155,9061,327
17899,BB-,630.8,0.319868533,0.142,1240.2,1704.3
17997,B-,366.155,0.623448652,11,5025.918,245.862
18004,B,29.45,0.44474099,0.565,994.44,23.364
18086,BB-,280.5,0.373495842,4.5,3380.8,22.3
18246,BB-,632.234,0.073479302,0.952,1461.63,-10.679
18293,BB,317,0.647262317,0.003,1021,367
18465,BB,31.61,0.329974852,0.528,1646.89,2403.275
18498,BB+,153.813,0.301436273,9.1,9633.075,186.332
18841,B+,131.791,0.393695684,6,1281.405,327.145
18872,BB-,988.598,0.233729067,3.583,2529.619,679.08
19171,B+,690.776,0.22661694,0.115,353.857,1577.458
19190,B,107.066,0.551506304,5.35,570.912,-29.388
19377,B+,470.043,0.194752378,0.467,778.906,2235.702
19442,BB-,51.536,0.416889196,0.617,461.375,49.078
19507,BB-,65.2,0.571566136,2.181,1513.9,0.6
19517,A-,14.663,0.241249529,3.4,1427.232,320.809
19574,B,172.246,0.253632029,10.092,1255.356,170.441
19578,B,198.349,0.392823308,6.458,1606.378,171.624
19580,B+,296,0.28641115,7.45,3076,-63
19640,B,131.074,0.24807294,0.201,214.152,103.077
19800,BB-,160.596,0.581649999,7.333,1006.254,143.14
19843,B+,54.235,0.315807211,11.949,4341.795,148.16
19974,BBB-,4.866,0.406264398,0,192.41,2.435
20115,B+,33.605,0.573267494,1.3,751.526,87.598
20185,BB,50.1,0.402698661,5.1,2836.1,115.2
20204,B,149.411,0.545358673,0.145,368.461,-187.704
20232,BBB-,783,0.289508283,10.3,2918,391
20338,B,118.1,0.50460695,14.21,3235.9,1145.5
20423,CCC-,1513,0.453135491,31,3877,-1133
20500,CCC,14.251,0.553135992,0.798,428.218,63.782
20502,BB-,326.655,0.544108432,1.2,868.731,311.912
20570,B,27.921,0.593521654,6.138,1385.785,-10.469
20653,CCC+,1.606,0.680706259,1.058,960.567,204.211
20676,B-,621.872,0,0.304,246.87,-1223.161
20686,BBB-,9321,0.179254382,15,15122,10316
20695,BB,115.705,0.440989738,4.96,951.411,-95.816
20739,B-,565.333,0.225535485,0,654.556,4.615
20779,AA-,7631,0.201254398,73.7,49247,8871
20904,BB,548.4,0.421511548,5.333,2832.7,127.5
21352,BB-,113.7,0.27946713,12,1592.3,187.4
21431,CCC+,12,0.798866856,1.45,1547,61
21487,BB+,202,0.604433103,10.875,2932.9,142.2
21515,B+,336.4,0.527839106,8.7,8073.7,283.5
21761,BB+,219.1,0.503298097,8.7,2114.6,-99.2
21808,B,61.029,0.615033956,7.4,892.896,23.899
21816,B+,139.938,0.804963709,5,2351.356,108.272
21845,BB-,209.7,0.574173327,12,2790.7,256.4
21894,BBB,27.5,0.219582241,65,12787.9,343.7
22815,BBB-,216.1,0.133268006,8.388,2362.2,251.3
23002,CCC+,65.904,1.173768421,0.117,175.706,-38.533
23084,BB,681.433,0.105696394,9.9,2310.415,237.778
23485,BB-,84,0.607843137,3.6,1699,242
23714,B,238,0.673942763,120,18438,-576
23809,BBB,189.734,0.58449936,84,10635.676,524.532
23810,CCC+,52.652,0.4604139,0.48,172.808,-20.023
23978,B,1515,0.325436681,29.8,10261,1086
24157,BB,89.955,0.212821351,16.2,1088.377,38.141
24216,BB,1305,0.530468728,19,13586,2147
24293,BB,55.2,0.255559404,2.76,1330.6,259.1
24302,BB-,186.378,0.162570818,1.75,745.694,-121.974
24379,BB,155.41,0.18026572,0.823,1062.483,67.682
24405,BB-,156,0.571675302,6.5,3574,-4
24415,B+,8.917,0.26193859,9,3093.743,41.557
24440,BBB+,117.347,0.088486867,0.965,875.976,155.186
24468,A-,2326.5,0.284685795,7.4,11448.8,3534.6
24678,BBB,16.67,0.023372706,1.473,1115.301,326.521
24720,BB,163.467,0.261339018,5.1,1845.444,1.923
24782,BBB-,622.3,0.376673564,12.8,5280.6,386.2
24856,A,8229,0.462397108,9,30390,7322
24893,BBB-,351,0.165273616,87,15724,1003
24925,BBB,757.2,0.405486255,14.155,3789.925,3769.048
